"Format","MoTeC CSV File",,,"Workbook","Default"
"Venue","BeaveRun",,,"Worksheet","General"
"Vehicle","RFR 26",,,"Vehicle Desc",""
"Driver","None",,,"Engine ID","KTM SFX 450"
"Device","C185"
"Comment","PeterG",,,"Session",""
"Log Date","5/22/2026",,,"Origin Time","0.000","s"
"Log Time","11:38:16 PM",,,"Start Time","0.000","s"
"Sample Rate","20.000","Hz",,"End Time","835.000","s"
"Duration","835.000","s",,"Start Distance",
"Range","entire outing",,,"End Distance",
"Beacon Markers",""


"Time","Battery Temp","Motor Temp","Engine Power","Motor Speed"
"s","C","C","kW","rpm"


"0.000","20.0","-10.8","104.1","0"
"0.050","20.0","-10.7","104.1","0"
"0.100","20.0","-10.6","104.1","0"
"0.150","19.7","-10.7","104.1","0"
"0.200","19.0","-10.8","104.1","0"
"0.250","19.0","-10.8","104.1","0"
"0.300","19.0","-10.8","104.1","0"
"0.350","19.0","-10.8","104.1","0"
"0.400","19.0","-10.7","104.1","0"
"0.450","19.0","-10.7","104.1","0"
"0.500","19.0","-10.7","104.1","0"
"0.550","19.0","-10.7","104.1","0"
"0.600","19.0","-10.7","104.1","0"
"0.650","19.0","-10.6","104.1","0"
"0.700","19.0","-10.4","104.1","0"
"0.750","19.0","-10.4","104.1","0"
"0.800","19.0","-10.5","104.1","0"
"0.850","19.0","-10.6","104.1","0"
"0.900","19.0","-10.6","104.1","0"
"0.950","19.0","-10.6","104.1","0"
"1.000","19.0","-10.6","104.1","0"
"1.050","19.0","-10.7","104.1","0"
"1.100","19.0","-10.8","104.1","0"
"1.150","19.1","-10.7","104.1","0"
"1.200","20.0","-10.5","104.1","0"
"1.250","20.0","-10.6","104.1","0"
"1.300","20.0","-10.6","104.1","0"
"1.350","20.0","-10.4","104.1","0"
"1.400","20.0","-10.2","104.1","0"
"1.450","20.0","-10.3","104.1","0"
"1.500","20.0","-10.4","104.1","0"
"1.550","20.0","-10.4","104.1","0"
"1.600","20.0","-10.4","104.1","0"
"1.650","20.0","-10.4","104.1","0"
"1.700","20.0","-10.4","104.1","0"
"1.750","20.0","-10.4","104.1","0"
"1.800","20.0","-10.5","104.1","0"
"1.850","20.0","-10.4","104.1","0"
"1.900","20.0","-10.4","104.1","0"
"1.950","20.0","-10.4","104.1","0"
"2.000","20.0","-10.5","104.1","0"
"2.050","20.0","-10.6","104.1","0"
"2.100","20.0","-10.7","104.1","0"
"2.150","20.5","-10.8","104.1","0"
"2.200","21.0","-10.8","104.1","0"
"2.250","21.0","-10.8","104.1","0"
"2.300","21.0","-10.8","104.1","0"
"2.350","21.0","-10.8","104.1","0"
"2.400","21.0","-10.7","104.1","0"
"2.450","21.0","-10.8","104.1","0"
"2.500","21.0","-10.8","104.1","0"
"2.550","21.0","-10.9","104.1","0"
"2.600","21.0","-10.9","104.1","0"
"2.650","21.0","-11.0","104.1","0"
"2.700","21.0","-11.1","104.1","0"
"2.750","21.0","-11.0","104.1","0"
"2.800","21.0","-10.8","104.1","0"
"2.850","21.0","-10.9","104.1","0"
"2.900","21.0","-11.0","104.1","0"
"2.950","21.0","-10.9","104.1","0"
"3.000","21.0","-10.9","104.1","0"
"3.050","21.0","-10.9","104.1","0"
"3.100","21.0","-10.8","104.1","0"
"3.150","20.1","-10.8","104.1","0"
"3.200","19.0","-10.8","104.1","0"
"3.250","19.0","-10.8","104.1","0"
"3.300","19.0","-10.8","104.1","0"
"3.350","19.0","-10.8","104.1","0"
"3.400","19.0","-10.8","104.1","0"
"3.450","19.0","-10.8","104.1","0"
"3.500","19.0","-10.7","104.1","0"
"3.550","19.0","-10.8","104.1","0"
"3.600","19.0","-10.9","104.1","0"
"3.650","19.0","-10.9","104.1","0"
"3.700","19.0","-10.8","104.1","0"
"3.750","19.0","-11.0","104.1","0"
"3.800","19.0","-11.2","104.1","0"
"3.850","19.0","-11.2","104.1","0"
"3.900","19.0","-11.2","104.1","0"
"3.950","19.0","-11.2","104.1","0"
"4.000","19.0","-11.2","104.1","0"
"4.050","19.0","-11.2","104.1","0"
"4.100","19.0","-11.2","104.1","0"
"4.150","19.1","-11.2","104.1","0"
"4.200","20.0","-11.2","104.1","0"
"4.250","20.0","-11.1","104.1","0"
"4.300","20.0","-11.0","104.1","0"
"4.350","20.0","-11.1","104.1","0"
"4.400","20.0","-11.1","104.1","0"
"4.450","20.0","-11.2","104.1","0"
"4.500","20.0","-11.2","104.1","0"
"4.550","20.0","-11.2","104.1","0"
"4.600","20.0","-11.1","104.1","0"
"4.650","20.0","-11.1","104.1","0"
"4.700","20.0","-11.0","104.1","0"
"4.750","20.0","-11.1","104.1","0"
"4.800","20.0","-11.1","104.1","0"
"4.850","20.0","-11.1","104.1","0"
"4.900","20.0","-11.0","104.1","0"
"4.950","20.0","-11.0","104.1","0"
"5.000","20.0","-11.0","104.1","0"
"5.050","20.0","-11.0","104.1","0"
