"Format","MoTeC CSV File",,,"Workbook","Default"
"Venue","BeaveRun",,,"Worksheet","General"
"Vehicle","RFR 26",,,"Vehicle Desc",""
"Driver","None",,,"Engine ID","EMRAX 208"
"Device","C185"
"Comment","PeterG",,,"Session",""
"Log Date","5/30/2026",,,"Origin Time","0.000","s"
"Log Time","12:27:03 PM",,,"Start Time","0.000","s"
"Sample Rate","20.000","Hz",,"End Time","1426.000","s"
"Duration","1426.000","s",,"Start Distance",
"Range","entire outing",,,"End Distance",
"Beacon Markers",""


"Time","Battery Temp","Motor Temp","Motor Speed"
"s","C","C","rpm"


"0.000","20.0","22.3","0"
"0.050","20.0","22.3","0"
"0.100","20.0","22.4","0"
"0.150","20.0","22.3","0"
"0.200","20.0","22.5","0"
"0.250","20.0","22.3","0"
"0.300","19.2","22.4","0"
"0.350","18.0","22.3","0"
"0.400","18.0","22.3","0"
"0.450","18.0","22.2","0"
"0.500","18.0","22.3","0"
"0.550","18.0","22.3","0"
"0.600","18.0","22.2","0"
"0.650","18.0","22.3","0"
"0.700","18.0","22.2","0"
"0.750","18.0","22.3","0"
"0.800","18.0","22.3","0"
"0.850","18.0","22.3","0"
"0.900","18.0","22.4","0"
"0.950","18.0","22.3","0"
"1.000","18.0","22.2","0"
"1.050","18.0","22.2","0"
"1.100","18.0","22.2","0"
"1.150","18.0","22.3","0"
"1.200","18.0","22.3","0"
"1.250","18.0","22.2","0"
"1.300","18.0","22.3","0"
"1.350","18.0","22.2","0"
"1.400","18.0","22.3","0"
"1.450","18.0","22.3","0"
"1.500","18.0","22.2","0"
"1.550","18.0","22.3","0"
"1.600","18.0","22.2","0"
"1.650","18.0","22.4","0"
"1.700","18.0","22.6","0"
"1.750","18.0","22.3","0"
"1.800","18.0","22.2","0"
"1.850","18.0","22.3","0"
"1.900","18.0","22.4","0"
"1.950","18.0","22.3","0"
"2.000","18.0","22.3","0"
"2.050","18.0","22.3","0"
"2.100","18.0","22.4","0"
"2.150","18.0","22.4","0"
"2.200","18.0","22.2","0"
"2.250","18.0","22.5","0"
"2.300","18.0","22.4","0"
"2.350","18.0","22.2","0"
"2.400","18.0","22.4","0"
"2.450","18.0","22.2","0"
"2.500","18.0","22.2","0"
"2.550","18.0","22.3","0"
"2.600","18.0","22.2","0"
"2.650","18.0","22.4","0"
"2.700","18.0","22.3","0"
"2.750","18.0","22.2","0"
"2.800","18.0","22.3","0"
"2.850","18.0","22.2","0"
"2.900","18.0","22.2","0"
"2.950","18.0","22.3","0"
"3.000","18.0","22.3","0"
"3.050","18.0","22.4","0"
"3.100","18.0","22.3","0"
"3.150","18.0","22.2","0"
"3.200","18.0","22.3","0"
"3.250","18.0","22.2","0"
"3.300","18.0","22.4","0"
"3.350","18.0","22.5","0"
"3.400","18.0","22.2","0"
"3.450","18.0","22.2","0"
"3.500","18.0","21.8","0"
"3.550","18.0","22.2","0"
"3.600","18.0","22.3","0"
"3.650","18.0","22.3","0"
"3.700","18.0","22.2","0"
"3.750","18.0","22.1","0"
"3.800","18.0","22.2","0"
"3.850","18.0","22.4","0"
"3.900","18.0","22.1","0"
"3.950","18.0","22.2","0"
"4.000","18.0","22.3","0"
"4.050","18.0","22.3","0"
"4.100","18.0","22.2","0"
"4.150","18.0","22.4","0"
"4.200","18.0","22.4","0"
"4.250","18.0","22.3","0"
"4.300","18.0","22.3","0"
"4.350","18.0","22.5","0"
"4.400","18.0","22.3","0"
"4.450","18.0","22.1","0"
"4.500","18.0","22.1","0"
"4.550","18.0","22.3","0"
"4.600","18.0","22.2","0"
"4.650","18.0","22.3","0"
"4.700","18.0","22.2","0"
"4.750","18.0","22.2","0"
"4.800","18.0","22.3","0"
"4.850","18.0","22.3","0"
"4.900","18.0","22.2","0"
"4.950","18.0","22.0","0"
"5.000","18.0","22.2","0"
"5.050","18.0","22.2","0"
"5.100","18.0","22.2","0"
"5.150","18.0","22.2","0"
"5.200","18.0","22.3","0"
"5.250","18.0","22.2","0"
"5.300","18.0","22.3","0"
"5.350","18.0","22.2","0"
"5.400","18.0","22.2","0"
"5.450","18.0","22.3","0"
"5.500","18.0","22.1","0"
"5.550","18.0","22.3","0"
"5.600","18.0","22.2","0"
"5.650","18.0","22.2","0"
"5.700","18.0","22.2","0"
"5.750","18.0","22.2","0"
"5.800","18.0","22.0","0"
"5.850","18.0","22.4","0"
"5.900","18.0","22.2","0"
"5.950","18.0","22.1","0"
"6.000","18.0","22.2","0"
"6.050","18.0","22.3","0"
"6.100","18.0","22.8","0"
"6.150","18.0","22.2","0"
"6.200","18.0","21.5","0"
"6.250","18.0","22.3","0"
"6.300","18.0","22.1","0"
"6.350","18.0","22.2","0"
"6.400","18.0","22.1","0"
"6.450","18.0","22.2","0"
"6.500","18.0","22.3","0"
"6.550","18.0","22.3","0"
"6.600","18.0","22.2","0"
"6.650","18.0","22.1","0"
"6.700","18.0","22.3","0"
"6.750","18.0","22.3","0"
"6.800","18.0","22.3","0"
"6.850","18.0","22.2","0"
"6.900","18.0","22.3","0"
"6.950","18.0","22.3","0"
"7.000","18.0","22.3","0"
"7.050","18.0","22.4","0"
"7.100","18.0","22.2","0"
"7.150","18.0","22.3","0"
"7.200","18.0","22.2","0"
"7.250","18.0","22.3","0"
"7.300","18.0","22.3","0"
"7.350","18.0","22.2","0"
"7.400","18.0","22.2","0"
"7.450","18.0","22.2","0"
"7.500","18.0","22.3","0"
"7.550","18.0","22.2","0"
"7.600","18.0","22.1","0"
"7.650","18.0","22.4","0"
"7.700","18.0","22.2","0"
"7.750","18.0","22.5","0"
"7.800","18.0","22.3","0"
"7.850","18.0","22.3","0"
"7.900","18.0","22.2","0"
"7.950","18.0","22.2","0"
"8.000","18.0","22.4","0"
"8.050","18.0","22.2","0"
"8.100","18.0","22.2","0"
"8.150","18.0","22.3","0"
"8.200","18.0","22.2","0"
"8.250","18.0","22.2","0"
"8.300","18.0","22.3","0"
"8.350","18.0","22.8","0"
"8.400","18.0","22.0","0"
"8.450","18.0","22.3","0"
"8.500","18.0","22.3","0"
"8.550","18.0","22.1","0"
"8.600","18.0","21.9","0"
"8.650","18.0","22.2","0"
"8.700","18.0","22.2","0"
"8.750","18.0","22.2","0"
"8.800","18.0","22.4","0"
"8.850","18.0","22.2","0"
"8.900","18.0","22.3","0"
"8.950","18.0","22.2","0"
"9.000","18.0","22.2","0"
"9.050","18.0","22.2","0"
"9.100","18.0","22.2","0"
"9.150","18.0","22.3","0"
"9.200","18.0","22.1","0"
"9.250","18.0","22.3","0"
"9.300","18.0","22.2","0"
"9.350","18.0","22.2","0"
"9.400","18.0","22.4","0"
"9.450","18.0","22.2","0"
"9.500","18.0","22.2","0"
"9.550","18.0","22.1","0"
"9.600","18.0","21.5","0"
