timestamp_ms,apps1_pct,apps2_pct,brake_raw,brake_latched,pedal_pressed,mismatch_fault,brake_throttle_fault,active_fault,implausibility
266,?,?,0,0,0,0,0,0,1
305,?,?,0,0,0,0,0,0,1
344,?,?,0,0,0,0,0,0,1
381,?,?,0,0,0,1,0,1,1
420,?,?,0,0,0,1,0,1,1
458,?,?,0,0,0,1,0,1,1
497,?,?,0,0,0,1,0,1,1
535,?,?,0,0,0,1,0,1,1
574,?,?,0,0,0,1,0,1,1
613,?,?,0,0,0,1,0,1,1
651,?,?,0,0,0,1,0,1,1
690,?,?,0,0,0,1,0,1,1
728,?,?,0,0,0,1,0,1,1
766,?,?,0,0,0,1,0,1,1
804,?,?,0,0,0,1,0,1,1
843,?,?,0,0,0,1,0,1,1
882,?,?,0,0,0,1,0,1,1
923,?,?,0,0,0,1,0,1,1
959,?,?,0,0,0,1,0,1,1
997,?,?,0,0,0,1,0,1,1
1036,?,?,0,0,0,1,0,1,1
1075,?,?,0,0,0,1,0,1,1
1113,?,?,0,0,0,1,0,1,1
1152,?,?,0,0,0,1,0,1,1
1189,?,?,0,0,0,1,0,1,1
1228,?,?,0,0,0,1,0,1,1
1266,?,?,0,0,0,1,0,1,1
1305,?,?,0,0,0,1,0,1,1
1344,?,?,0,0,0,1,0,1,1
1382,?,?,0,0,0,1,0,1,1
1421,?,?,0,0,0,1,0,1,1
1459,?,?,0,0,0,1,0,1,1
1498,?,?,0,0,0,1,0,1,1
1536,?,?,0,0,0,1,0,1,1
1574,?,?,0,0,0,1,0,1,1
1613,?,?,0,0,0,1,0,1,1
1651,?,?,0,0,0,1,0,1,1
1690,?,?,0,0,0,1,0,1,1
1731,?,?,0,0,0,1,0,1,1
1767,?,?,0,0,0,1,0,1,1
1806,?,?,0,0,0,1,0,1,1
1844,?,?,0,0,0,1,0,1,1
1883,?,?,0,0,0,1,0,1,1
1921,?,?,0,0,0,1,0,1,1
1959,?,?,0,0,0,1,0,1,1
1997,?,?,0,0,0,1,0,1,1
2036,?,?,0,0,0,1,0,1,1
2075,?,?,0,0,0,1,0,1,1
2113,?,?,0,0,0,1,0,1,1
2152,?,?,0,0,0,1,0,1,1
2197,?,?,0,0,0,1,0,1,1
2231,?,?,0,0,0,1,0,1,1
2267,?,?,0,0,0,1,0,1,1
2306,?,?,0,0,0,1,0,1,1
2344,?,?,0,0,0,1,0,1,1
2382,?,?,0,0,0,1,0,1,1
2421,?,?,0,0,0,1,0,1,1
2459,?,?,0,0,0,1,0,1,1
2498,?,?,0,0,0,1,0,1,1
2537,?,?,0,0,0,1,0,1,1
2577,?,?,0,0,0,1,0,1,1
2614,?,?,0,0,0,1,0,1,1
2652,?,?,0,0,0,1,0,1,1
2691,?,?,0,0,0,1,0,1,1
2728,?,?,0,0,0,1,0,1,1
2767,?,?,0,0,0,1,0,1,1
2806,?,?,0,0,0,1,0,1,1
2844,?,?,0,0,0,1,0,1,1
2883,?,?,0,0,0,1,0,1,1
2921,?,?,0,0,0,1,0,1,1
2960,?,?,0,0,0,1,0,1,1
2998,?,?,0,0,0,1,0,1,1
3037,?,?,0,0,0,1,0,1,1
3076,?,?,0,0,0,1,0,1,1
3113,?,?,0,0,0,1,0,1,1
3152,?,?,0,0,0,1,0,1,1
3190,?,?,0,0,0,1,0,1,1
3229,?,?,0,0,0,1,0,1,1
3267,?,?,0,0,0,1,0,1,1
3306,?,?,0,0,0,1,0,1,1
3345,?,?,0,0,0,1,0,1,1
3386,?,?,0,0,0,1,0,1,1
3422,?,?,0,0,0,1,0,1,1
3460,?,?,0,0,0,1,0,1,1
3499,?,?,0,0,0,1,0,1,1
3537,?,?,0,0,0,1,0,1,1
3575,?,?,0,0,0,1,0,1,1
3614,?,?,0,0,0,1,0,1,1
3652,?,?,0,0,0,1,0,1,1
3691,?,?,0,0,0,1,0,1,1
3729,?,?,0,0,0,1,0,1,1
3768,?,?,0,0,0,1,0,1,1
3807,?,?,0,0,0,1,0,1,1
3845,?,?,0,0,0,1,0,1,1
3884,?,?,0,0,0,1,0,1,1
3921,?,?,0,0,0,1,0,1,1
3960,?,?,0,0,0,1,0,1,1
3998,?,?,0,0,0,1,0,1,1
4037,?,?,0,0,0,1,0,1,1
4076,?,?,0,0,0,1,0,1,1
4121,?,?,0,0,0,1,0,1,1
4155,?,?,0,0,0,1,0,1,1
4194,?,?,0,0,0,1,0,1,1
4230,?,?,0,0,0,1,0,1,1
4269,?,?,0,0,0,1,0,1,1
4306,?,?,0,0,0,1,0,1,1
4345,?,?,0,0,0,1,0,1,1
4383,?,?,0,0,0,1,0,1,1
4422,?,?,0,0,0,1,0,1,1
4460,?,?,0,0,0,1,0,1,1
4499,?,?,0,0,0,1,0,1,1
4538,?,?,0,0,0,1,0,1,1
4576,?,?,0,0,0,1,0,1,1
4615,?,?,0,0,0,1,0,1,1
4653,?,?,0,0,0,1,0,1,1
4691,?,?,0,0,0,1,0,1,1
4729,?,?,0,0,0,1,0,1,1
4768,?,?,0,0,0,1,0,1,1
4807,?,?,0,0,0,1,0,1,1
4845,?,?,0,0,0,1,0,1,1
4884,?,?,0,0,0,1,0,1,1
4922,?,?,0,0,0,1,0,1,1
4961,?,?,0,0,0,1,0,1,1
5000,?,?,0,0,0,1,0,1,1
5040,?,?,0,0,0,1,0,1,1
5076,?,?,0,0,0,1,0,1,1
5114,?,?,0,0,0,1,0,1,1
5153,?,?,0,0,0,1,0,1,1
5191,?,?,0,0,0,1,0,1,1
5230,?,?,0,0,0,1,0,1,1
5269,?,?,0,0,0,1,0,1,1
5307,?,?,0,0,0,1,0,1,1
5346,?,?,0,0,0,1,0,1,1
5384,?,?,0,0,0,1,0,1,1
5423,?,?,0,0,0,1,0,1,1
5460,?,?,0,0,0,1,0,1,1
5499,?,?,0,0,0,1,0,1,1
5538,?,?,0,0,0,1,0,1,1
5576,?,?,0,0,0,1,0,1,1
5615,?,?,0,0,0,1,0,1,1
5653,?,?,0,0,0,1,0,1,1
5692,?,?,0,0,0,1,0,1,1
5730,?,?,0,0,0,1,0,1,1
5769,?,?,0,0,0,1,0,1,1
5808,?,?,0,0,0,1,0,1,1
5849,?,?,0,0,0,1,0,1,1
5884,?,?,0,0,0,1,0,1,1
5922,?,?,0,0,0,1,0,1,1
5961,?,?,0,0,0,1,0,1,1
6000,?,?,0,0,0,1,0,1,1
6045,?,?,0,0,0,1,0,1,1
6079,?,?,0,0,0,1,0,1,1
6115,?,?,0,0,0,1,0,1,1
6154,?,?,0,0,0,1,0,1,1
6192,?,?,0,0,0,1,0,1,1
6231,?,?,0,0,0,1,0,1,1
6269,?,?,0,0,0,1,0,1,1
6307,?,?,0,0,0,1,0,1,1
6346,?,?,0,0,0,1,0,1,1
6384,?,?,0,0,0,1,0,1,1
6423,?,?,0,0,0,1,0,1,1
6461,?,?,0,0,0,1,0,1,1
6500,?,?,0,0,0,1,0,1,1
6539,?,?,0,0,0,1,0,1,1
6577,?,?,0,0,0,1,0,1,1
6616,?,?,0,0,0,1,0,1,1
6657,?,?,0,0,0,1,0,1,1
6692,?,?,0,0,0,1,0,1,1
6731,?,?,0,0,0,1,0,1,1
6769,?,?,0,0,0,1,0,1,1
6808,?,?,0,0,0,1,0,1,1
6846,?,?,0,0,0,1,0,1,1
6885,?,?,0,0,0,1,0,1,1
6923,?,?,0,0,0,1,0,1,1
6962,?,?,0,0,0,1,0,1,1
7001,?,?,0,0,0,1,0,1,1
7038,?,?,0,0,0,1,0,1,1
7077,?,?,0,0,0,1,0,1,1
7115,?,?,0,0,0,1,0,1,1
7154,?,?,0,0,0,1,0,1,1
7192,?,?,0,0,0,1,0,1,1
7231,?,?,0,0,0,1,0,1,1
7270,?,?,0,0,0,1,0,1,1
7308,?,?,0,0,0,1,0,1,1
7347,?,?,0,0,0,1,0,1,1
7385,?,?,0,0,0,1,0,1,1
7424,?,?,0,0,0,1,0,1,1
7462,?,?,0,0,0,1,0,1,1
7502,?,?,0,0,0,1,0,1,1
7539,?,?,0,0,0,1,0,1,1
7577,?,?,0,0,0,1,0,1,1
7616,?,?,0,0,0,1,0,1,1
7654,?,?,0,0,0,1,0,1,1
7693,?,?,0,0,0,1,0,1,1
7732,?,?,0,0,0,1,0,1,1
7770,?,?,0,0,0,1,0,1,1
7809,?,?,0,0,0,1,0,1,1
7846,?,?,0,0,0,1,0,1,1
7885,?,?,0,0,0,1,0,1,1
7923,?,?,0,0,0,1,0,1,1
7969,?,?,0,0,0,1,0,1,1
8003,?,?,0,0,0,1,0,1,1
8039,?,?,0,0,0,1,0,1,1
8078,?,?,0,0,0,1,0,1,1
8116,?,?,0,0,0,1,0,1,1
8155,?,?,0,0,0,1,0,1,1
8193,?,?,0,0,0,1,0,1,1
8231,?,?,0,0,0,1,0,1,1
8270,?,?,0,0,0,1,0,1,1
8311,?,?,0,0,0,1,0,1,1
8347,?,?,0,0,0,1,0,1,1
8385,?,?,0,0,0,1,0,1,1
8424,?,?,0,0,0,1,0,1,1
8463,?,?,0,0,0,1,0,1,1
8501,?,?,0,0,0,1,0,1,1
8540,?,?,0,0,0,1,0,1,1
8578,?,?,0,0,0,1,0,1,1
8616,?,?,0,0,0,1,0,1,1
8654,?,?,0,0,0,1,0,1,1
8693,?,?,0,0,0,1,0,1,1
8732,?,?,0,0,0,1,0,1,1
8770,?,?,0,0,0,1,0,1,1
8809,?,?,0,0,0,1,0,1,1
8847,?,?,0,0,0,1,0,1,1
8886,?,?,0,0,0,1,0,1,1
8924,?,?,0,0,0,1,0,1,1
8963,?,?,0,0,0,1,0,1,1
9001,?,?,0,0,0,1,0,1,1
9039,?,?,0,0,0,1,0,1,1
9078,?,?,0,0,0,1,0,1,1
9119,?,?,0,0,0,1,0,1,1
9155,?,?,0,0,0,1,0,1,1
9194,?,?,0,0,0,1,0,1,1
9232,?,?,0,0,0,1,0,1,1
9271,?,?,0,0,0,1,0,1,1
9309,?,?,0,0,0,1,0,1,1
9348,?,?,0,0,0,1,0,1,1
9385,?,?,0,0,0,1,0,1,1
9424,?,?,0,0,0,1,0,1,1
9463,?,?,0,0,0,1,0,1,1
9501,?,?,0,0,0,1,0,1,1
9540,?,?,0,0,0,1,0,1,1
9578,?,?,0,0,0,1,0,1,1
9617,?,?,0,0,0,1,0,1,1
9655,?,?,0,0,0,1,0,1,1
9694,?,?,0,0,0,1,0,1,1
9733,?,?,0,0,0,1,0,1,1
9771,?,?,0,0,0,1,0,1,1
9809,?,?,0,0,0,1,0,1,1
9847,?,?,0,0,0,1,0,1,1
9893,?,?,0,0,0,1,0,1,1
9927,?,?,0,0,0,1,0,1,1
9965,?,?,0,0,0,1,0,1,1
10002,?,?,0,0,0,1,0,1,1
10040,?,?,0,0,0,1,0,1,1
10079,?,?,0,0,0,1,0,1,1
10117,?,?,0,0,0,1,0,1,1
10156,?,?,0,0,0,1,0,1,1
10194,?,?,0,0,0,1,0,1,1
10232,?,?,0,0,0,1,0,1,1
10271,?,?,0,0,0,1,0,1,1
10309,?,?,0,0,0,1,0,1,1
10348,?,?,0,0,0,1,0,1,1
10386,?,?,0,0,0,1,0,1,1
10425,?,?,0,0,0,1,0,1,1
10464,?,?,0,0,0,1,0,1,1
10502,?,?,0,0,0,1,0,1,1
10541,?,?,0,0,0,1,0,1,1
10578,?,?,0,0,0,1,0,1,1
10617,?,?,0,0,0,1,0,1,1
10656,?,?,0,0,0,1,0,1,1
10694,?,?,0,0,0,1,0,1,1
10735,?,?,0,0,0,1,0,1,1
10771,?,?,0,0,0,1,0,1,1
10810,?,?,0,0,0,1,0,1,1
10848,?,?,0,0,0,1,0,1,1
10887,?,?,0,0,0,1,0,1,1
10926,?,?,0,0,0,1,0,1,1
10963,?,?,0,0,0,1,0,1,1
11002,?,?,0,0,0,1,0,1,1
11040,?,?,0,0,0,1,0,1,1
11079,?,?,0,0,0,1,0,1,1
11117,?,?,0,0,0,1,0,1,1
11156,?,?,0,0,0,1,0,1,1
11195,?,?,0,0,0,1,0,1,1
11233,?,?,0,0,0,1,0,1,1
11272,?,?,0,0,0,1,0,1,1
11310,?,?,0,0,0,1,0,1,1
11348,?,?,0,0,0,1,0,1,1
11386,?,?,0,0,0,1,0,1,1
11425,?,?,0,0,0,1,0,1,1
11464,?,?,0,0,0,1,0,1,1
11502,?,?,0,0,0,1,0,1,1
11543,?,?,0,0,0,1,0,1,1
11579,?,?,0,0,0,1,0,1,1
11618,?,?,0,0,0,1,0,1,1
11657,?,?,0,0,0,1,0,1,1
11695,?,?,0,0,0,1,0,1,1
11734,?,?,0,0,0,1,0,1,1
11771,?,?,0,0,0,1,0,1,1
11817,?,?,0,0,0,1,0,1,1
11850,?,?,0,0,0,1,0,1,1
11887,?,?,0,0,0,1,0,1,1
11926,?,?,0,0,0,1,0,1,1
11964,?,?,0,0,0,1,0,1,1
12003,?,?,0,0,0,1,0,1,1
12041,?,?,0,0,0,1,0,1,1
12080,?,?,0,0,0,1,0,1,1
12118,?,?,0,0,0,1,0,1,1
12156,?,?,0,0,0,1,0,1,1
12195,?,?,0,0,0,1,0,1,1
12233,?,?,0,0,0,1,0,1,1
12272,?,?,0,0,0,1,0,1,1
12313,?,?,0,0,0,1,0,1,1
12349,?,?,0,0,0,1,0,1,1
12388,?,?,0,0,0,1,0,1,1
12426,?,?,0,0,0,1,0,1,1
12465,?,?,0,0,0,1,0,1,1
12503,?,?,0,0,0,1,0,1,1
12541,?,?,0,0,0,1,0,1,1
12579,?,?,0,0,0,1,0,1,1
12618,?,?,0,0,0,1,0,1,1
12657,?,?,0,0,0,1,0,1,1
12695,?,?,0,0,0,1,0,1,1
12734,?,?,0,0,0,1,0,1,1
12772,?,?,0,0,0,1,0,1,1
12811,?,?,0,0,0,1,0,1,1
12849,?,?,0,0,0,1,0,1,1
12888,?,?,0,0,0,1,0,1,1
12926,?,?,0,0,0,1,0,1,1
12964,?,?,0,0,0,1,0,1,1
13003,?,?,0,0,0,1,0,1,1
13041,?,?,0,0,0,1,0,1,1
13080,?,?,0,0,0,1,0,1,1
13121,?,?,0,0,0,1,0,1,1
13157,?,?,0,0,0,1,0,1,1
13196,?,?,0,0,0,1,0,1,1
